domain,experiment_id,file_path,method,shift_condition,dgp_or_dataset,n_train,n_cal,n_test,T,alpha,n_seeds,seed,overall_coverage,coverage_std_pooled,coverage_se,mean_width,width_std_pooled,early_coverage_mean,late_coverage_mean,coverage_degradation,time_resolved_metrics,aci_stepsize,covariate_mode,with_shift,mixed,notes
finance,tech_shift_20241001_20241129,results/finance/json/finance_tech_shift_20241001_20241129.json,Weighted CAFHT (LR + ACI),shift_weighted,S&P 500 Technology · 2024-10-02→2024-11-29,199,198,72,43,0.1,1,42,0.8792989417989417,,,0.04810981098129288,,,,,coverage_by_time;width_by_time;gamma_opt_history;clf_prob1_mean_by_time;clf_prob1_std_by_time;dates,,,True,False,
finance,tech_shift_20241101_20241231,results/finance/json/finance_tech_shift_20241101_20241231.json,Weighted CAFHT (LR + ACI),shift_weighted,S&P 500 Technology · 2024-11-04→2024-12-31,199,198,72,41,0.1,1,42,0.8854166666666666,,,0.05176371098419589,,,,,coverage_by_time;width_by_time;gamma_opt_history;clf_prob1_mean_by_time;clf_prob1_std_by_time;dates,,,True,False,
finance,tech_shift_20241202_20250131,results/finance/json/finance_tech_shift_20241202_20250131.json,Weighted CAFHT (LR + ACI),shift_weighted,S&P 500 Technology · 2024-12-03→2025-01-31,199,198,72,41,0.1,1,42,0.8763888888888889,,,0.05073441345986272,,,,,coverage_by_time;width_by_time;gamma_opt_history;clf_prob1_mean_by_time;clf_prob1_std_by_time;dates,,,True,False,
finance,tech_shift_20250102_20250228,results/finance/json/finance_tech_shift_20250102_20250228.json,Weighted CAFHT (LR + ACI),shift_weighted,S&P 500 Technology · 2025-01-03→2025-02-28,199,198,72,39,0.1,1,42,0.875,,,0.05412050805840485,,,,,coverage_by_time;width_by_time;gamma_opt_history;clf_prob1_mean_by_time;clf_prob1_std_by_time;dates,,,True,False,
finance,util_LRonly_20240102_20240229,results/finance/json/finance_util_LRonly_20240102_20240229.json,"AdaptedCAFHT (LR only, γ=0)",shift_LRonly,S&P 500 Utilities · 2024-01-03→2024-02-29,221,220,30,41,0.1,1,42,0.9183333333333333,,,0.04172147426234311,,,,,coverage_by_time;width_by_time;gamma_opt_history;clf_prob1_mean_by_time;clf_prob1_std_by_time;dates,,,True,False,
finance,util_LRonly_20240201_20240328,results/finance/json/finance_util_LRonly_20240201_20240328.json,"AdaptedCAFHT (LR only, γ=0)",shift_LRonly,S&P 500 Utilities · 2024-02-02→2024-03-28,220,219,30,40,0.1,1,42,0.9290598290598291,,,0.04232419696494224,,,,,coverage_by_time;width_by_time;gamma_opt_history;clf_prob1_mean_by_time;clf_prob1_std_by_time;dates,,,True,False,
finance,util_LRonly_20240301_20240430,results/finance/json/finance_util_LRonly_20240301_20240430.json,"AdaptedCAFHT (LR only, γ=0)",shift_LRonly,S&P 500 Utilities · 2024-03-04→2024-04-30,220,219,30,42,0.1,1,42,0.9243902439024391,,,0.04141262284494519,,,,,coverage_by_time;width_by_time;gamma_opt_history;clf_prob1_mean_by_time;clf_prob1_std_by_time;dates,,,True,False,
finance,util_LRonly_20240401_20240531,results/finance/json/finance_util_LRonly_20240401_20240531.json,"AdaptedCAFHT (LR only, γ=0)",shift_LRonly,S&P 500 Utilities · 2024-04-02→2024-05-31,219,219,30,44,0.1,1,42,0.9193798449612403,,,0.04187163485550112,,,,,coverage_by_time;width_by_time;gamma_opt_history;clf_prob1_mean_by_time;clf_prob1_std_by_time;dates,,,True,False,
finance,util_LRonly_20240501_20240628,results/finance/json/finance_util_LRonly_20240501_20240628.json,"AdaptedCAFHT (LR only, γ=0)",shift_LRonly,S&P 500 Utilities · 2024-05-02→2024-06-28,220,219,30,41,0.1,1,42,0.9266666666666666,,,0.041010530961453774,,,,,coverage_by_time;width_by_time;gamma_opt_history;clf_prob1_mean_by_time;clf_prob1_std_by_time;dates,,,True,False,
finance,util_LRonly_20240603_20240731,results/finance/json/finance_util_LRonly_20240603_20240731.json,"AdaptedCAFHT (LR only, γ=0)",shift_LRonly,S&P 500 Utilities · 2024-06-04→2024-07-31,220,219,30,41,0.1,1,42,0.9433333333333334,,,0.0424472691293603,,,,,coverage_by_time;width_by_time;gamma_opt_history;clf_prob1_mean_by_time;clf_prob1_std_by_time;dates,,,True,False,
